-2.973,-5.689,-0.911,2.035,-3.207,0.342,8.099,0.092,-1.112,0.120,-3.183,2.503,-5.039,-1.849,0.443,-2.531,-2.050,1.258,1.518,2.193,1.317,0.000
-2.927,-0.039,-2.153,2.118,-0.004,-0.902,4.149,7.219,4.698,7.234,5.293,-2.342,2.292,0.801,-4.457,1.929,1.030,1.854,-0.330,-5.155,-0.525,1.000
1.270,2.138,1.564,1.675,-3.876,1.569,-3.634,-2.474,3.422,-0.211,-0.370,-2.203,1.023,2.400,0.322,-2.962,3.980,2.029,-3.052,-2.297,-2.352,1.000
0.932,1.480,4.307,0.752,-2.290,-3.420,-1.560,-2.241,2.812,4.247,1.423,-3.289,0.933,-0.525,4.628,0.422,1.475,-0.621,-4.648,3.272,-1.200,0.000
-2.513,0.174,-1.559,2.578,-3.883,-3.190,6.315,7.867,1.019,2.147,-1.913,-2.695,1.885,0.118,-3.165,2.488,-2.716,-2.434,-0.515,-2.160,0.202,1.000
0.229,1.881,3.514,3.735,-2.225,-1.280,-1.922,-1.991,-2.396,-5.297,-0.242,0.472,-1.486,3.202,-1.948,-4.570,0.910,1.557,1.876,4.072,2.950,0.000
-5.586,-3.264,0.270,0.543,-4.384,3.060,3.148,2.593,-1.247,3.562,0.045,1.018,-3.763,0.683,-1.199,-1.839,-2.666,-2.312,0.903,3.961,5.107,0.000
1.686,-1.939,-4.227,2.604,1.086,-1.566,0.488,0.874,0.856,1.123,2.047,-3.631,-3.193,3.701,-0.776,-2.007,1.271,2.959,-0.407,1.195,1.507,1.000
-2.464,-0.388,5.240,2.290,3.635,-3.078,4.143,1.565,-0.121,0.277,0.082,-3.023,-2.921,1.896,-1.352,-3.803,1.034,-6.055,0.184,1.243,-3.292,0.000
0.099,-3.533,-4.657,0.586,-1.575,4.497,-2.084,-3.484,2.126,2.264,3.129,-5.860,4.142,-1.437,0.769,0.135,6.055,-5.193,0.510,2.284,-1.858,1.000
