-0.406,0.926,0.883,-1.149,0.843,-0.816,1.129,3.384,1.594,-1.016,1.414,1.357,1.000
-1.909,0.432,-1.620,-0.346,-1.910,3.817,-0.960,1.152,4.165,1.075,1.406,-2.875,1.000
0.539,0.827,0.297,-3.498,1.014,1.340,-1.113,1.016,1.205,-4.302,-0.092,3.054,0.000
-1.071,-4.867,1.581,1.760,-0.643,-1.487,-0.533,1.401,-1.367,-0.257,2.433,0.649,1.000
-2.353,0.894,-0.280,-0.534,2.196,1.835,1.688,-1.025,-0.121,0.089,-0.314,3.700,0.000
-0.996,1.757,-0.341,0.575,-1.728,2.740,0.386,1.529,2.351,-0.209,0.519,2.869,1.000
-1.507,1.039,0.791,-3.522,-2.874,-4.953,0.301,1.766,0.546,1.234,4.108,0.937,0.000
-2.029,-1.395,2.155,0.587,-2.603,4.376,1.769,0.914,2.454,-1.095,1.039,-2.156,1.000
2.365,-1.615,1.256,0.040,-2.215,-1.395,-2.998,2.329,3.229,-2.145,-1.297,3.501,1.000
1.936,2.998,0.729,-0.958,-1.211,-0.457,3.304,1.312,3.182,-0.133,0.390,-0.751,1.000
4.483,-2.342,2.077,0.527,-4.249,-0.930,0.150,-2.094,3.303,-2.323,0.007,-0.413,0.000
-5.234,-2.944,2.750,-3.004,-2.127,2.521,-3.411,-0.939,-2.632,-0.241,0.323,2.493,1.000
-0.629,0.312,-0.847,-1.414,-0.213,-1.057,-1.725,2.072,3.339,-0.686,-1.422,2.246,0.000
-2.611,-3.049,-1.484,3.234,6.730,1.642,-3.223,-0.792,0.144,-0.364,0.784,2.071,0.000
1.643,-1.634,2.548,-0.542,-2.184,-1.422,-1.503,3.712,-1.902,3.382,5.023,-0.515,1.000
-2.648,1.250,1.464,-3.683,-5.464,-2.439,-1.383,-1.531,2.507,-2.632,-0.701,-2.107,0.000
-2.162,-0.839,-2.866,-1.906,-2.923,0.388,-0.653,-1.207,-0.779,0.657,2.560,0.506,0.000
-0.512,-3.260,-3.746,-5.285,0.499,0.804,1.280,0.610,0.071,-1.454,0.566,2.333,0.000
-0.335,1.448,-3.958,-0.740,-0.656,-2.575,-0.859,2.987,1.873,0.103,0.780,0.521,0.000
-4.936,-1.006,0.379,-3.886,1.953,1.861,-1.129,1.813,-1.714,-0.899,-1.445,2.890,0.000
-1.853,0.202,2.982,-2.038,-2.581,0.207,2.629,0.565,1.823,-3.090,-0.811,-0.671,1.000
-3.957,-2.959,-1.700,-2.032,-0.501,3.567,-0.849,1.140,0.890,-2.881,0.321,5.133,1.000
-2.219,-2.033,2.560,-2.435,-0.305,3.476,-0.380,0.832,3.363,3.091,2.437,0.385,0.000
-5.726,-0.185,-1.552,-1.371,2.170,2.088,1.406,0.952,-0.599,-1.311,-2.741,3.809,0.000
-0.113,-3.528,-0.749,0.263,-0.686,4.474,4.627,0.147,2.507,-4.434,0.931,1.887,1.000
-2.140,0.383,1.131,-0.585,0.441,-0.813,2.333,1.980,2.770,-1.827,1.744,1.877,1.000
2.316,0.938,1.150,-0.569,-1.891,3.682,-1.303,-0.949,-0.102,-1.284,-5.634,0.748,1.000
-0.054,1.770,3.366,-4.953,-8.022,-1.937,-3.167,-0.168,2.409,-1.466,-1.759,0.224,0.000
0.039,1.072,-0.670,-2.764,-1.167,2.432,-3.415,1.670,2.818,0.726,-0.488,-0.522,1.000
-0.207,1.938,2.331,-3.345,0.636,0.013,-4.981,-0.833,-0.706,-0.475,-4.308,1.573,1.000
0.305,-2.114,-0.440,2.771,-0.077,-0.956,-1.432,0.351,-1.075,0.717,-1.739,1.321,0.000
1.457,-1.681,2.578,-1.032,-0.849,0.017,0.840,2.778,4.218,-1.892,1.222,2.955,1.000
4.030,0.657,-1.708,-0.822,-0.298,4.745,-1.531,-1.013,-0.503,3.406,-3.116,2.574,1.000
-1.662,1.517,1.440,-3.850,-2.730,-1.592,-1.274,-0.042,2.045,-0.945,3.684,1.444,0.000
5.885,1.209,-0.192,1.371,-0.757,-0.331,2.399,2.416,-1.183,-0.123,-2.762,6.424,1.000
0.803,-1.895,-2.404,-1.195,-1.082,0.760,-0.850,3.388,4.368,-1.074,-2.461,0.848,0.000
1.580,-0.119,-0.846,1.279,0.186,-0.889,4.549,1.130,2.468,1.144,1.054,2.544,0.000
1.321,0.212,-1.118,-4.126,-3.552,-0.358,-1.030,0.710,5.395,-0.931,-2.171,-0.187,0.000
5.416,4.823,-2.881,-1.731,-1.148,0.121,-3.679,2.003,-1.243,-0.156,-3.374,2.798,1.000
-1.980,-0.233,0.945,-2.487,-0.787,0.224,3.504,-1.110,2.835,-3.011,-0.524,0.880,1.000
1.941,-1.597,-2.631,1.005,-0.177,0.029,0.416,4.626,5.145,-4.035,-4.552,-0.042,0.000
2.180,-0.222,0.239,-0.413,-3.152,0.951,-0.919,-1.856,0.456,-2.953,0.358,1.794,0.000
-3.107,-2.606,-3.388,-1.000,0.450,-0.170,1.054,2.419,2.921,-2.913,-2.653,1.996,0.000
0.394,-3.294,2.068,-1.725,1.223,-2.580,-1.739,3.054,0.657,4.545,2.839,2.686,0.000
-0.452,-1.705,-1.523,0.112,2.072,-3.692,-2.827,4.885,-0.860,3.848,0.532,2.903,0.000
-2.910,3.267,1.168,-1.726,-0.229,1.662,1.163,3.601,1.009,-1.051,1.807,-2.765,1.000
7.331,-0.951,2.406,0.046,-0.325,-1.294,-0.715,1.345,2.546,-3.516,0.973,6.206,1.000
-0.719,0.127,0.723,-2.280,-1.388,2.393,0.613,1.099,1.733,0.135,-2.024,-2.408,1.000
-0.305,-0.476,-3.012,-0.030,-0.902,-0.671,1.160,2.671,3.757,-3.121,-2.055,1.583,0.000
0.167,-2.946,1.834,0.031,-1.891,2.999,-4.840,0.388,-1.091,-3.689,-3.415,0.596,0.000
1.401,0.997,-1.779,1.648,-3.624,-0.475,-5.347,1.101,0.307,-1.406,-0.046,-0.878,1.000
-1.306,0.514,-2.546,0.000,2.005,-0.249,0.227,1.509,2.591,-0.924,0.659,2.273,0.000
2.320,-1.021,-1.366,0.465,-3.218,2.497,-1.072,-1.111,-1.243,1.725,-1.875,0.754,1.000
0.522,-0.337,-0.788,0.161,-1.612,-0.289,-3.052,2.048,2.834,-0.145,1.417,-0.346,1.000
0.307,3.103,-1.763,-2.135,-1.644,-0.499,0.331,1.927,5.264,-1.921,-2.640,3.175,0.000
-1.006,-1.496,1.822,0.757,-1.339,-0.898,-0.869,0.950,-0.125,-0.225,2.086,-0.207,1.000
-1.045,2.491,-0.196,1.500,-3.974,1.111,-2.770,-1.594,0.261,-3.745,-0.341,-2.686,1.000
