0.903,6.729,0.231,-3.883,1.935,3.645,2.778,-1.762,-0.004,-1.060,-2.005,2.261,-1.617,2.307,1.248,0.000
-0.023,-0.737,-0.225,1.261,2.366,1.105,-4.844,-1.113,0.687,-1.023,1.595,1.127,0.024,0.484,-1.364,1.000
2.990,-0.315,1.867,2.681,0.312,0.176,0.996,2.678,4.168,1.555,-0.222,-0.208,-0.169,-0.931,-0.418,1.000
-0.834,-1.359,2.505,-0.182,0.177,0.952,-2.977,-1.060,-1.073,0.379,1.462,0.967,0.348,-0.937,0.892,1.000
-7.207,-2.393,-0.595,2.093,3.670,0.447,1.950,2.887,0.174,-2.050,1.683,5.458,1.769,3.874,2.486,0.000
-1.956,0.124,0.643,0.423,1.326,-0.727,2.581,8.326,-1.051,-0.906,-2.986,2.035,1.117,3.862,-4.701,1.000
3.626,1.118,4.478,-0.056,3.711,1.103,1.731,0.784,-3.344,-0.448,-1.386,1.239,2.497,1.082,2.684,0.000
-2.083,-0.893,3.552,3.211,-3.413,-1.594,-0.292,-0.403,1.237,1.473,0.030,-0.547,0.747,-2.186,2.027,1.000
-3.676,4.298,2.475,-0.060,2.758,1.117,3.019,-4.142,1.907,3.492,-2.958,-1.781,0.492,3.455,0.362,0.000
-0.623,2.152,1.613,-3.990,0.762,-1.834,1.989,-0.095,0.239,0.804,2.355,1.246,0.915,-0.535,-2.969,0.000
2.371,1.700,-3.730,-1.118,-2.298,-6.260,-1.057,2.320,3.681,4.233,0.178,-5.761,0.998,3.586,2.428,0.000
0.313,1.699,-3.025,-0.893,3.893,4.247,2.093,1.518,1.407,-0.105,0.770,1.691,-3.027,-2.574,-2.780,0.000
2.124,-0.098,-2.973,-0.488,-1.183,-2.812,-1.804,4.310,0.950,5.238,2.863,1.479,-4.692,3.812,-2.658,1.000
-2.761,-1.396,1.456,2.825,-0.770,-0.767,-0.881,-3.240,1.380,0.473,4.327,0.817,2.974,1.366,1.102,0.000
1.288,0.907,-1.468,-3.173,2.873,-2.004,-0.693,4.738,0.252,3.038,4.024,2.281,-1.396,1.093,1.082,1.000
-0.231,-0.331,-1.273,2.152,-1.233,-2.233,-1.805,1.867,1.853,5.655,-0.744,-1.617,2.308,2.308,0.636,1.000
0.465,0.505,1.420,-1.674,-4.100,3.433,-4.196,-0.221,-1.354,0.125,1.263,2.081,3.225,1.886,3.489,1.000
1.377,0.258,0.386,-0.588,-4.020,3.040,-3.813,-3.161,-2.529,0.091,0.802,0.885,2.798,2.264,0.054,1.000
-1.432,-2.554,3.065,1.485,-0.282,-1.149,1.290,-0.731,3.092,0.648,-1.622,1.394,1.445,-4.793,4.852,1.000
0.948,1.253,1.007,0.285,0.129,-0.143,-1.750,2.332,-1.594,1.338,3.091,-1.615,1.974,-0.837,1.355,1.000
-4.201,-1.537,4.512,3.800,-1.875,1.559,-0.564,-1.246,5.086,-2.220,-1.515,6.916,-2.702,-0.531,1.757,1.000
-1.699,0.512,-0.001,3.505,2.952,1.716,-1.135,-1.684,-0.331,-3.466,3.280,2.227,-2.157,-1.273,1.863,0.000
4.251,5.426,4.050,1.494,2.507,4.224,-3.349,0.781,-2.996,2.391,-0.095,-0.068,-0.902,-1.831,3.014,1.000
1.651,-0.417,0.776,-4.218,0.207,-0.826,0.341,-2.151,0.710,-1.198,0.622,-1.672,3.989,4.955,4.543,0.000
3.065,2.019,-3.845,1.856,0.934,1.543,2.369,0.766,1.677,-4.291,0.508,-2.231,-3.165,-2.565,0.191,0.000
-1.785,0.179,0.385,1.802,2.759,0.023,0.285,-2.886,0.795,-0.049,1.703,0.280,2.124,-0.146,-1.149,0.000
-1.384,-1.322,1.363,3.609,-1.288,-0.625,-1.621,0.562,1.624,-0.346,-2.299,2.468,-1.657,-2.037,2.658,1.000
