1.443,-0.292,-2.952,0.372,1.162,-0.978,-1.795,0.205,-0.215,-0.169,-0.739,-1.802,-0.189,0.000
5.117,-5.115,-4.490,0.739,-3.459,1.936,-0.324,4.051,0.736,-2.752,3.103,1.443,2.466,0.000
-1.676,-4.077,-1.592,-2.641,2.803,-0.137,-5.653,-1.409,-5.224,2.163,-3.291,-1.577,-1.009,1.000
0.669,-1.651,0.306,2.037,1.977,1.867,-2.962,-1.936,1.862,2.240,-1.578,0.701,-0.723,0.000
2.116,-2.693,-1.904,1.458,-3.174,0.173,0.729,2.442,-0.095,-4.498,3.616,2.135,1.993,1.000
5.243,-5.877,-1.486,-0.466,-0.859,1.841,2.576,0.045,3.041,1.413,6.690,-0.567,3.513,0.000
1.339,2.584,2.273,1.484,-0.624,0.013,-3.021,-0.799,2.507,-4.232,4.160,1.519,-0.659,1.000
3.024,-2.481,-0.422,4.020,-4.549,-1.690,0.451,-3.030,0.985,0.254,-1.121,-1.409,-0.189,1.000
-3.017,-3.915,-1.313,-0.864,1.785,-1.420,1.128,0.146,-0.714,-1.186,1.185,-1.554,-0.325,1.000
0.341,2.673,-2.487,-0.341,1.002,0.342,0.428,-0.596,-0.739,-0.888,0.695,-0.473,-2.956,0.000
-0.692,1.769,0.010,-1.308,2.620,3.053,0.255,-2.365,-3.787,0.036,-0.754,1.682,1.616,1.000
1.289,0.085,0.017,-0.705,0.638,-1.612,-0.727,0.208,-1.543,1.505,0.531,-0.160,3.010,1.000
-0.244,-1.710,-1.367,-0.127,-2.441,3.378,-2.654,-1.272,2.557,3.960,-5.917,2.871,0.668,1.000
0.365,0.641,1.815,0.267,1.775,1.643,-1.561,-0.270,0.708,-0.134,3.340,2.995,-0.075,0.000
1.862,-1.187,-0.708,3.430,0.539,-0.458,-2.863,2.464,-1.206,-1.248,0.432,-2.029,2.922,0.000
1.712,1.212,0.078,3.060,-2.205,3.873,-1.732,2.839,1.475,-2.724,2.856,-0.821,-1.170,0.000
