-0.485,3.051,1.114,1.367,-0.228,2.457,0.583,2.271,-3.316,2.453,1.497,-2.317,-4.267,1.021,-2.267,0.070,-2.514,3.088,2.109,-4.591,1.000
1.198,-1.418,-7.073,-1.226,1.084,0.101,0.779,2.148,2.936,-1.920,-0.269,-0.664,2.762,2.904,-5.805,-3.504,-0.617,-3.665,1.640,1.306,0.000
4.821,-1.179,-3.081,7.328,-3.508,3.063,-1.774,-3.061,1.084,-3.328,4.074,2.265,-2.888,2.963,1.303,-1.679,-4.163,1.534,-1.947,-2.042,1.000
3.000,-2.912,-1.905,-2.261,0.444,1.822,3.726,1.628,1.972,-6.822,2.217,-2.128,-0.813,-0.108,0.095,-0.181,-0.728,-3.726,4.881,3.147,0.000
-2.975,1.396,1.233,-0.136,1.098,3.140,-1.157,-3.174,1.986,-1.127,1.506,-0.744,-1.954,-0.395,2.269,4.961,3.756,1.629,2.083,0.648,0.000
-0.969,-1.871,-1.333,-1.567,0.478,0.793,-1.718,2.529,0.391,1.717,-0.396,1.239,2.244,-0.667,0.183,0.982,-0.982,-2.146,-1.188,-1.354,1.000
-1.250,4.303,-0.969,-3.782,-0.515,-0.801,1.883,-1.592,-1.774,3.706,-0.014,-0.125,2.316,-0.477,1.980,2.268,-2.348,3.072,0.500,1.973,1.000
-0.266,-1.964,-0.024,3.261,-5.304,3.917,-7.386,-2.104,0.262,1.090,-2.701,-2.953,-0.461,2.695,-2.793,2.175,1.241,1.267,-5.568,0.708,0.000
2.023,-0.446,1.622,4.851,-2.668,2.283,-5.978,-2.759,1.330,3.118,-2.034,-4.045,0.843,2.023,2.587,2.921,-0.733,-0.550,1.263,-3.100,0.000
-3.229,-1.430,1.661,1.615,-0.709,2.777,-0.132,-0.632,0.254,2.896,1.417,2.332,1.023,3.205,0.104,1.582,3.883,-4.318,-2.628,-0.140,1.000
-5.319,-1.043,3.629,2.368,0.410,-4.214,1.136,3.392,-3.215,-2.421,0.557,-2.742,0.472,-5.115,2.312,-2.866,3.486,2.874,2.030,3.344,1.000
-0.467,0.383,-1.053,0.911,-1.707,3.171,1.251,-0.456,2.477,1.546,2.203,-0.500,-3.570,1.216,-1.425,1.472,4.757,2.350,-3.560,0.853,0.000
-3.106,1.382,-0.822,-0.120,0.608,2.073,1.723,-3.806,2.557,-1.646,5.649,-4.977,-2.027,1.304,-0.657,1.134,3.610,0.042,-0.434,3.342,0.000
2.322,-1.178,2.668,-1.651,-0.552,1.338,-2.958,-0.336,1.595,1.580,-2.374,1.857,-6.319,0.027,-4.134,4.576,-2.865,2.486,0.133,3.416,0.000
-2.456,-0.658,0.786,0.312,2.029,1.551,-0.463,3.578,0.729,2.488,-0.029,0.591,3.191,-3.889,0.635,2.646,2.802,3.361,-2.545,0.897,0.000
0.980,-2.232,-0.511,-1.494,1.771,2.940,-1.161,-1.806,5.433,2.932,-1.207,-4.242,-2.823,-0.988,-4.249,3.123,-1.070,2.838,0.159,3.221,0.000
-1.314,0.063,-2.759,1.794,-2.520,-3.028,-1.204,-0.048,-3.602,1.866,1.045,4.351,-0.978,0.022,1.509,-1.352,-2.810,5.192,3.160,2.538,1.000
7.380,-2.879,0.518,4.043,5.044,3.630,2.222,2.613,-2.393,3.642,0.928,-0.810,2.147,-5.682,-6.257,2.758,3.679,6.551,1.431,0.705,0.000
0.688,-0.865,-0.333,3.972,-1.179,-4.368,0.602,0.356,-4.997,-0.265,1.269,4.028,2.679,-0.673,-1.131,0.306,-4.953,4.620,4.757,5.154,1.000
-0.336,-0.763,2.130,0.470,-0.349,1.972,-2.633,-1.895,-2.442,0.156,5.615,5.725,-2.955,-3.887,-1.024,-0.704,-1.837,1.044,6.125,0.829,1.000
0.178,3.803,-1.315,1.800,-1.267,4.307,-1.581,0.091,-0.470,-4.471,2.510,-2.713,-1.227,-0.998,1.166,5.193,1.803,-2.305,-3.567,-1.962,0.000
2.644,-2.834,1.130,0.773,-1.659,0.705,-1.136,-0.695,-0.920,-1.813,1.831,-2.420,-1.064,1.139,-5.177,-1.290,-2.038,-0.524,-0.797,1.462,0.000
2.515,-1.833,-3.027,-0.622,0.393,1.197,-5.640,-0.453,-4.347,3.377,-0.958,-0.285,0.958,-0.603,4.256,-4.038,-2.175,-1.359,2.061,-1.793,1.000
-0.174,0.892,-5.366,-3.806,0.783,-5.145,-4.065,4.657,-3.965,5.216,0.518,-5.399,0.495,1.442,1.307,1.464,-6.289,-1.560,5.374,-0.673,1.000
2.812,2.888,1.382,-0.711,2.654,0.317,-2.816,-0.305,0.488,-2.369,2.913,1.053,-2.587,-3.352,-0.475,-3.885,1.681,0.054,3.345,-2.717,1.000
0.739,-0.632,-2.819,-4.733,-1.636,-2.632,0.321,7.491,-0.942,4.251,-2.056,-5.438,-3.573,-0.207,2.556,-0.643,-6.195,2.864,0.960,-3.929,1.000
3.934,-1.081,-1.687,-1.865,3.211,3.540,2.204,-2.229,-0.988,-3.837,0.998,1.531,-1.917,-1.090,-1.169,-0.276,0.291,1.305,-1.415,-0.545,1.000
-1.436,4.140,1.118,-0.662,1.899,-1.827,-0.045,-0.113,-0.928,2.059,2.292,-0.512,-1.716,-0.642,1.870,-0.559,-3.745,2.914,1.203,2.021,1.000
-3.224,-4.629,2.084,2.531,1.740,-2.265,-1.935,1.727,-2.559,-3.799,4.381,4.934,-2.731,-0.918,2.345,-1.743,-0.476,1.782,2.925,0.281,1.000
-6.153,0.443,1.224,-0.535,-4.121,0.474,-2.687,3.273,2.452,-2.648,3.133,4.461,-3.284,0.034,1.316,2.809,4.883,1.842,1.445,-3.878,0.000
-1.381,2.783,-2.714,2.155,-6.732,0.355,-1.387,-1.663,4.041,5.176,2.855,2.165,-3.339,4.524,2.000,1.611,5.027,2.724,-6.110,0.516,0.000
5.521,1.171,-4.008,0.720,0.998,2.767,-0.286,0.369,4.763,3.335,-6.292,1.239,-7.357,-0.230,-2.363,4.663,-0.080,1.414,-3.979,-1.381,0.000
