2.024,2.475,1.562,5.424,-2.803,-1.475,1.179,-2.326,-1.975,8.088,0.719,0.972,-1.281,-5.977,-2.319,-4.178,-1.375,8.674,-1.326,-1.123,4.089,-0.034,-3.165,1.000
0.847,0.895,3.319,0.211,-0.664,2.356,-0.887,2.732,2.928,-3.015,-5.007,4.294,-3.428,2.164,2.414,3.515,-1.416,-1.151,-2.657,-0.707,-1.252,2.068,0.641,0.000
3.444,2.478,4.452,3.140,-0.520,0.959,-4.748,-5.431,3.475,-0.432,1.983,3.575,-5.304,2.065,-0.557,2.832,2.271,-2.648,0.885,-3.113,0.288,2.771,-2.878,1.000
-4.722,-2.574,-1.336,-1.291,1.834,-0.001,-1.711,-3.143,-4.282,-2.320,-2.723,6.763,-0.076,-0.791,0.721,-0.122,0.176,0.992,-2.909,4.180,0.517,-0.955,7.548,0.000
-1.545,-0.084,-1.306,-0.787,0.183,-3.060,4.555,3.313,-4.877,7.468,0.807,1.958,2.374,4.571,4.842,-1.207,-2.150,-6.733,1.599,0.213,6.035,-3.476,-2.531,0.000
1.865,1.439,0.729,-0.812,-0.889,1.979,5.202,2.352,5.177,-4.783,-8.446,-2.612,-0.994,4.890,-6.161,2.158,-3.771,-2.286,3.685,-2.336,-0.892,-4.107,0.578,1.000
-1.095,0.106,1.565,4.801,3.916,-2.638,1.519,-1.154,0.751,2.159,0.618,-5.178,-6.174,-4.219,-0.704,-2.709,-0.640,3.723,4.963,-0.106,-2.935,1.599,1.053,0.000
-1.900,4.919,2.160,3.470,3.154,1.973,-0.536,-2.182,-0.684,1.528,1.579,1.877,-3.483,-2.951,-3.026,2.454,-0.543,0.453,3.155,0.345,-3.100,2.637,-2.158,1.000
1.801,2.300,0.997,-1.461,3.951,-3.425,2.709,-3.431,2.495,2.385,0.051,-5.981,-3.287,-4.786,-5.657,5.866,-4.911,-1.062,-0.125,4.055,-6.142,1.669,-5.431,1.000
-0.851,-1.671,5.014,-0.137,-1.736,2.524,1.429,-3.393,1.251,-2.461,1.496,-0.930,-1.468,0.688,-5.336,-1.262,-4.474,-3.906,0.658,1.304,-1.932,1.658,0.858,1.000
-2.278,2.017,-1.696,-0.421,3.637,-0.894,-0.686,-0.561,4.054,-3.589,0.446,-3.277,-0.502,2.946,4.072,8.591,0.615,1.672,0.698,3.087,0.014,1.997,1.643,1.000
-0.023,-2.103,-3.296,1.206,1.248,3.971,-1.056,-1.374,1.331,3.242,-0.258,3.234,-0.918,-4.003,-0.086,3.068,0.245,5.627,-0.596,0.758,-5.663,0.779,3.850,1.000
