-1.163,-0.265,-1.899,2.770,4.961,4.382,-0.928,0.785,2.889,3.198,0.459,-1.926,1.363,1.488,-2.673,4.363,2.161,1.000
1.957,-1.149,-0.369,0.916,-4.611,-0.367,1.286,2.222,-1.691,3.101,-6.372,-4.041,-2.610,-0.008,1.779,0.966,0.103,1.000
-0.599,2.823,0.921,0.091,0.405,0.004,3.379,-0.291,2.761,-2.037,-7.068,-0.373,2.640,2.200,1.567,-1.205,1.501,0.000
3.789,1.831,-1.028,-0.329,-2.533,0.305,5.439,-5.529,-5.352,1.037,-9.497,-4.278,4.853,-2.722,2.863,1.502,4.020,0.000
-2.785,-3.655,-0.805,1.883,1.227,0.032,4.359,-1.282,-2.243,-0.943,0.838,1.242,-0.767,3.164,1.648,3.840,1.352,1.000
-0.639,-3.828,-1.222,1.538,-2.976,3.202,4.463,0.481,-0.506,-2.528,0.179,1.496,0.842,0.935,-0.326,2.611,2.286,1.000
1.466,-0.161,-0.186,-0.462,3.209,-0.588,3.907,-2.450,0.646,0.581,2.109,1.513,1.680,-0.126,-3.538,-1.073,-2.293,1.000
4.976,-1.560,-0.235,1.446,0.679,1.440,0.414,-3.578,2.984,1.410,0.052,0.593,-2.332,0.628,0.013,-3.029,-0.402,0.000
-2.175,-2.280,-3.692,-2.755,-0.804,-0.084,1.189,3.454,0.903,-2.180,2.173,2.615,2.767,0.246,-0.262,-3.718,1.757,0.000
0.316,0.543,0.448,1.450,0.189,0.685,1.651,-2.715,3.743,0.279,-3.829,-1.989,1.791,1.796,-1.060,-1.419,4.011,1.000
2.393,3.173,4.622,-0.286,6.910,4.033,3.995,-3.180,1.770,2.277,0.693,-3.243,3.779,-1.317,-2.547,1.755,1.736,1.000
3.345,3.416,1.279,-0.072,0.902,-2.920,-2.290,0.430,1.533,-2.137,-2.530,-5.128,-3.566,0.249,-2.655,-0.932,-3.212,1.000
-6.635,-7.236,-1.436,1.357,5.038,3.110,2.792,-2.879,0.520,-1.127,0.583,-2.484,-4.586,5.308,0.605,4.795,-1.393,1.000
0.413,-1.161,2.410,-0.100,-0.592,0.850,2.425,1.688,-3.354,1.314,-2.990,2.160,-1.020,0.876,-4.698,1.117,0.981,0.000
-0.382,-4.489,2.404,-5.528,-5.734,-1.066,0.895,0.819,-3.266,7.822,-0.786,-1.217,-1.113,5.630,-3.173,2.150,-3.660,0.000
-2.673,-3.601,-2.646,-4.249,2.636,-1.559,-4.113,2.032,-3.247,2.592,-3.895,1.093,3.166,2.354,-0.549,-7.554,1.056,0.000
6.084,2.599,4.161,3.280,-0.355,-2.036,-1.502,2.696,1.891,0.791,-2.775,-3.014,2.866,0.574,0.393,-3.727,1.961,0.000
6.706,1.325,1.686,-2.933,0.372,-0.370,-2.214,-5.610,5.457,-0.851,-5.215,-1.869,3.444,0.129,2.372,-0.931,1.508,0.000
2.984,2.475,-2.159,-1.540,-1.455,-5.395,6.205,0.220,-3.922,-1.946,-4.189,-4.696,8.047,4.520,4.348,6.854,4.361,1.000
3.229,0.897,-1.315,2.281,-1.774,4.006,-1.586,-0.934,3.477,0.412,-3.668,4.257,-3.582,-0.197,-2.768,-1.387,1.007,1.000
-3.867,-0.271,-2.317,3.063,0.104,-0.998,0.172,-4.411,0.847,-1.887,-2.762,-1.104,0.727,-2.844,-2.250,0.461,0.201,1.000
-1.328,-0.798,-2.791,0.477,-1.685,-1.273,2.809,-0.896,-0.317,0.011,0.913,-2.152,2.891,1.851,-0.783,1.459,2.319,0.000
2.782,1.096,0.347,1.918,-3.982,1.445,3.643,-0.496,-3.920,0.430,0.402,-2.952,-1.167,-2.684,-3.147,2.837,2.138,0.000
-1.887,-0.158,-0.454,-1.345,5.246,-1.059,-1.017,-1.724,1.714,-1.506,0.322,-1.824,-1.459,1.674,-2.161,2.009,-0.817,1.000
-3.371,5.531,1.004,-2.157,6.490,-1.111,-0.801,-3.012,3.460,0.293,-3.222,1.074,3.849,-3.154,-3.439,0.801,0.235,0.000
-0.931,-1.965,1.866,2.211,7.455,-1.341,3.053,-7.561,2.004,2.293,-0.077,-4.510,1.086,0.227,0.154,-0.558,0.334,1.000
-1.390,-2.885,-4.763,-1.741,2.029,-0.784,-1.464,-4.645,0.415,1.884,0.596,0.754,3.302,3.202,4.330,-4.682,1.394,0.000
-2.645,1.851,1.666,-0.258,1.621,1.135,1.338,3.340,-3.870,2.841,3.502,6.688,-1.094,4.821,-0.223,-1.496,-0.842,0.000
-1.371,-2.072,0.947,3.563,2.555,-2.227,-0.158,-0.653,1.559,-2.295,-1.131,0.248,-2.508,-1.889,-5.902,-0.265,-3.745,1.000
1.947,-0.974,-0.791,-3.020,1.600,3.823,2.372,0.668,-3.389,3.144,-2.642,0.904,-0.854,1.519,-2.254,-0.084,3.419,0.000
-5.682,-3.477,0.721,2.714,5.331,-1.729,1.563,-4.056,3.264,-3.302,2.125,0.721,-1.298,1.150,-3.413,1.438,-1.921,1.000
1.419,-0.985,0.764,1.582,1.077,0.052,-4.129,-3.042,-0.557,-1.087,-0.827,-1.465,1.335,-5.457,0.517,2.035,1.773,0.000
0.748,2.015,1.447,6.936,-1.928,3.416,-0.121,-1.069,1.659,0.298,0.214,4.103,0.458,-0.029,2.978,1.551,-1.303,0.000
-1.833,-3.192,0.265,2.290,2.481,-1.137,-0.556,1.548,1.797,-1.430,1.156,-0.092,-2.781,1.177,-3.181,3.527,-1.370,1.000
4.260,0.271,3.129,4.435,2.224,1.735,-0.821,-3.931,2.480,-4.410,0.385,3.432,0.699,-0.965,-1.611,-2.675,1.005,1.000
1.880,2.162,-5.694,-0.481,-4.676,1.475,1.176,2.225,-3.019,-4.429,-0.230,3.328,1.160,3.101,0.212,3.873,2.262,1.000
1.432,-2.441,-1.289,-2.362,-0.602,-0.301,0.524,-1.184,-2.715,3.109,-2.545,-2.780,2.827,2.239,-1.908,-1.250,0.544,0.000
-3.891,4.012,6.484,1.043,2.930,3.168,-0.404,4.300,2.367,0.107,2.069,-0.821,4.825,-1.767,0.381,-0.455,0.055,0.000
4.518,5.398,5.582,3.628,3.070,2.376,-0.617,0.067,4.218,-1.541,-1.753,1.416,5.968,0.132,-3.924,0.857,0.205,1.000
-1.104,-0.142,-0.589,0.891,2.534,0.104,-2.351,0.365,-1.112,-3.182,0.767,2.883,2.023,-2.012,2.123,-0.467,2.931,0.000
0.368,1.899,-0.219,1.242,0.257,3.126,1.390,-2.030,4.288,1.201,-1.419,2.506,0.021,1.490,0.884,0.870,0.115,0.000
3.221,-1.996,-0.084,-1.449,0.015,2.233,0.171,-3.490,-1.876,4.341,-6.910,1.114,-0.347,3.931,1.040,-0.391,1.982,0.000
-5.393,3.899,-8.247,-4.264,0.733,-1.722,-0.943,0.742,-1.816,1.528,-4.290,-3.702,0.724,6.697,0.067,8.823,1.017,1.000
-1.712,-3.635,-1.423,-4.291,-3.687,-2.118,-4.905,-3.063,-1.113,3.696,1.796,-0.211,2.022,3.647,2.276,-6.360,-3.157,0.000
-2.650,2.091,3.557,1.808,3.901,2.975,-5.918,-6.037,1.590,-2.403,0.796,0.504,2.931,-6.752,5.361,0.470,-0.160,0.000
-3.241,-4.265,-5.062,3.499,3.393,-1.049,1.330,-1.731,-0.722,-1.599,-3.781,0.530,0.702,-0.182,0.256,3.844,0.304,1.000
-2.882,-1.409,-6.145,0.149,1.265,1.742,0.875,-0.008,-1.321,2.059,-0.987,0.924,-4.322,2.450,0.726,3.323,0.850,1.000
3.858,-4.342,-2.934,0.201,1.006,3.128,-0.688,-6.184,-0.334,0.398,0.485,2.484,0.000,0.188,1.125,-0.793,-2.185,0.000
1.074,-0.114,-0.168,-2.272,1.638,1.993,1.277,0.576,-2.153,1.354,-1.749,2.629,2.080,1.458,-0.233,-2.208,0.601,0.000
-2.069,-0.967,-0.153,3.175,-0.781,-0.224,-1.418,-1.339,-1.570,0.558,-2.816,-0.025,3.404,-2.006,0.644,-0.719,-0.360,1.000
2.001,0.514,-2.345,2.234,-2.297,0.391,0.381,0.860,0.312,-4.958,0.846,1.471,4.022,1.331,-2.368,1.016,1.464,1.000
3.721,-5.556,-0.488,-5.252,-5.529,2.924,1.999,-2.126,1.111,5.045,-2.531,-2.949,-1.386,1.676,-4.069,1.889,-0.329,0.000
-0.230,2.387,-0.257,3.856,3.420,4.169,-2.561,-1.110,2.999,-1.040,-2.551,1.751,-2.014,1.104,0.437,1.546,3.110,1.000
-0.204,0.597,-1.173,3.568,-1.581,0.590,-1.477,2.467,2.132,0.090,-0.513,2.075,-2.178,0.070,-3.973,1.131,1.318,0.000
3.905,-4.640,-1.279,-2.374,-0.531,1.611,3.219,-1.195,-1.422,3.577,-6.726,-0.787,0.596,2.273,0.633,-2.815,2.033,0.000
0.553,1.681,-0.770,-1.278,-3.684,2.822,3.985,-2.107,-0.922,0.464,0.034,1.834,0.214,-0.174,-2.779,4.927,3.938,0.000
-1.615,-2.696,-3.676,-3.147,0.939,1.645,4.449,0.622,-0.433,1.848,-1.524,-0.443,-5.632,4.890,3.118,1.724,-7.642,1.000
-2.183,0.160,-5.309,2.602,3.771,-1.857,-1.978,-0.810,0.233,-2.271,-1.905,0.203,2.957,1.923,1.567,6.141,1.182,1.000
-2.891,-1.215,-2.672,0.773,0.697,-1.782,-0.133,0.094,-1.668,1.911,-1.199,-0.597,-6.215,0.770,-0.214,4.959,-3.759,1.000
1.751,-1.379,-3.669,0.127,-4.456,-2.937,-0.296,-1.000,0.880,-2.202,-5.416,1.167,-0.905,2.097,-0.178,-0.509,2.501,1.000
0.373,-0.445,-0.805,-1.619,-2.347,0.246,0.463,-0.192,-3.056,-0.033,1.564,1.658,2.014,0.062,-1.156,-2.072,0.406,0.000
-0.520,1.232,-3.641,2.164,1.753,1.014,-3.850,-3.694,3.532,-1.640,1.345,5.460,0.566,2.484,2.478,-3.007,1.802,0.000
2.521,-0.427,0.886,3.306,3.195,-6.188,-0.615,-0.200,3.317,-3.423,0.042,-0.763,2.675,1.136,-2.090,-1.033,1.427,1.000
-2.662,1.724,-2.018,3.327,2.475,-2.870,-2.347,-1.238,3.464,-3.252,-3.388,2.083,1.394,2.147,1.093,0.293,-0.699,1.000
0.346,3.237,1.507,3.388,-2.751,-1.674,2.724,2.808,0.236,0.841,1.201,-0.042,-1.031,1.441,3.346,-2.368,0.839,0.000
-1.721,-2.460,-3.223,0.032,2.450,0.428,2.613,-0.908,1.492,-1.733,-2.393,-2.265,-3.590,3.960,-1.854,3.643,-0.130,1.000
-1.219,-3.079,-5.678,-7.889,-0.847,1.529,-3.196,-1.539,2.495,4.986,3.199,0.353,2.828,5.998,3.509,-5.072,0.590,0.000
0.471,1.549,-1.517,-2.030,-0.668,1.570,3.392,-0.259,-2.988,2.382,-4.198,1.528,1.436,0.570,2.217,-0.672,2.891,0.000
