1.549,2.724,-0.539,-1.052,9.290,1.221,-1.960,0.920,-4.131,-1.498,-1.901,6.974,1.072,3.585,-1.002,0.825,1.012,0.027,1.000
5.038,0.464,-2.296,-3.761,5.156,4.607,-2.046,-0.113,3.617,0.196,-2.482,0.796,-4.192,-1.560,3.413,-0.743,-3.379,2.783,1.000
-1.769,0.723,0.729,-0.923,2.961,-0.760,-2.611,-0.994,0.568,1.903,2.703,0.360,-3.731,2.217,-1.463,-2.798,-0.338,3.436,0.000
2.241,-2.500,-1.503,1.582,-2.345,-0.947,-1.166,-0.429,-0.981,0.459,-1.939,-0.762,-2.439,-1.816,0.203,2.646,1.865,0.238,0.000
0.165,-2.795,-3.430,5.767,-1.661,0.203,-0.070,0.525,-1.180,4.411,2.350,0.135,3.406,-4.972,0.988,-0.419,1.275,-1.161,0.000
2.142,-3.694,-3.632,-0.658,2.446,-1.492,-2.018,-1.450,3.478,0.646,0.088,-0.734,-6.325,-1.214,2.309,-1.997,-1.391,3.918,1.000
0.488,-2.492,0.198,1.990,0.569,-2.109,-0.721,-1.282,0.476,0.208,-3.321,1.893,1.388,-4.903,2.841,-0.863,4.389,-0.167,0.000
-1.305,-1.197,-0.173,-5.140,-2.357,0.718,0.011,0.320,-0.875,2.341,-4.812,1.701,-0.046,-3.281,-0.629,-0.849,-1.647,-0.604,1.000
-4.119,4.601,-1.839,-0.468,-1.525,-1.977,0.564,-2.944,3.862,2.728,1.815,-3.630,2.042,-3.039,0.686,1.868,-1.914,-1.997,1.000
-3.422,1.333,1.074,2.807,-2.895,-0.107,2.242,-0.247,1.089,0.753,-2.581,-1.812,1.194,1.508,0.966,-0.772,3.970,0.129,1.000
5.630,-1.831,0.396,2.018,6.293,3.339,0.482,-0.550,-2.648,-3.118,1.364,4.540,-3.284,0.538,-0.478,2.911,1.198,-1.423,1.000
-4.289,-4.767,-2.675,2.863,-8.612,3.431,1.152,-0.984,1.679,-2.934,-1.586,0.680,-0.269,0.088,-2.511,2.889,0.464,0.501,1.000
2.619,-2.676,-3.083,1.617,-4.926,-4.957,0.578,-5.453,0.600,3.091,2.817,4.575,0.856,-5.323,1.807,3.038,3.658,1.763,0.000
0.847,2.100,4.714,0.307,-1.586,-1.875,-3.026,-3.286,1.603,-0.704,-1.762,-3.152,-4.764,2.438,-2.303,-4.391,-0.835,-0.685,0.000
-1.771,-1.254,-1.478,2.530,-4.107,3.917,2.349,0.532,-0.447,2.384,-0.459,-2.683,1.112,0.384,1.859,-2.276,-2.953,2.924,1.000
-1.027,3.833,-4.562,1.422,3.024,-0.903,-4.082,-2.079,-0.899,-2.190,3.087,1.080,-0.441,-1.398,0.035,1.055,-1.282,2.865,1.000
4.915,-3.271,6.114,-1.808,5.202,-0.276,2.412,0.898,-2.559,1.766,-0.684,1.931,-0.404,1.425,2.161,-6.207,0.300,1.185,1.000
-5.999,-0.681,-0.498,0.576,-0.648,-0.708,0.618,-5.409,3.495,2.267,0.494,2.850,1.234,0.920,1.267,1.010,1.559,-1.147,0.000
1.590,3.981,2.062,-3.447,6.545,3.851,-0.445,0.588,-5.971,0.397,-1.148,3.024,1.607,3.155,0.236,-4.315,-2.211,5.763,1.000
-1.301,1.780,0.988,0.448,-0.057,-0.840,1.115,1.559,-0.249,-1.925,-2.881,-0.261,-1.808,-0.413,-1.195,2.077,0.733,-2.576,1.000
-2.880,-1.918,1.968,-1.369,-1.581,3.217,2.224,1.692,1.037,0.353,1.587,1.375,2.599,0.273,-3.023,-0.208,4.152,1.021,0.000
0.791,4.224,-2.249,-2.711,-0.603,-0.636,2.033,-0.658,2.147,3.507,-2.437,0.580,-2.635,-0.048,1.213,1.244,-2.131,-2.376,1.000
-0.149,-2.713,2.718,0.161,-1.015,-0.574,4.640,1.672,0.750,-1.190,6.650,-0.990,2.557,-2.899,2.674,-0.290,1.324,1.732,0.000
-1.083,-0.107,-3.470,2.052,-5.688,-4.202,-2.918,-1.199,3.601,-0.101,2.520,-0.322,6.592,-4.337,0.939,-1.208,1.422,-0.262,0.000
-0.025,-0.889,2.597,-0.099,-0.174,2.015,-0.405,-1.675,1.962,-2.658,-0.513,-0.733,-1.355,-0.820,3.342,-0.291,-1.341,0.222,0.000
-2.880,1.982,2.565,3.413,-2.546,3.386,2.214,-0.254,-0.947,3.975,-2.274,-0.215,-4.626,0.102,-0.367,-2.724,-1.103,2.249,1.000
-4.583,3.159,-0.649,3.472,-0.509,-0.099,-0.703,-0.568,-1.343,-0.114,-1.699,-1.057,0.887,-1.590,-0.490,2.447,-0.946,0.197,1.000
4.292,0.203,2.773,-3.228,0.137,-9.092,-5.579,3.668,0.590,2.376,-1.221,1.244,-2.303,1.621,1.503,-9.275,-0.661,3.116,1.000
1.990,0.057,-0.999,2.556,-4.708,-1.801,-2.533,-1.565,2.298,3.798,-0.222,1.248,1.586,-2.953,-0.903,3.193,1.893,1.409,0.000
3.136,1.112,-3.262,0.311,5.096,4.074,0.012,0.111,0.329,1.208,0.455,-0.784,-3.095,-2.633,3.290,1.763,-0.233,0.883,1.000
-2.768,1.525,0.300,1.030,-1.633,4.457,1.470,-0.172,-1.997,-1.136,3.097,0.927,2.947,0.130,-0.302,2.328,2.225,4.545,0.000
0.753,-2.533,-0.606,0.009,-1.233,1.517,-0.722,-2.571,0.079,1.575,1.429,3.095,-0.338,0.754,-2.186,1.483,1.856,1.555,0.000
