1.754,1.159,-0.189,0.003,-1.795,-1.431,-0.626,2.098,2.412,1.243,1.000
0.889,1.147,-0.534,0.711,-2.356,-2.579,0.780,1.032,2.630,3.696,0.000
-2.021,-2.457,-2.047,-1.705,0.394,-3.628,-2.952,-0.049,0.882,-1.170,0.000
0.830,0.614,0.019,1.614,-1.762,-1.147,0.748,-0.225,3.364,2.087,0.000
3.293,2.261,-0.334,2.593,-2.711,-1.835,0.856,0.221,4.123,2.345,0.000
1.437,-1.887,-1.126,-3.857,-3.349,-0.357,-2.510,1.536,0.690,0.136,0.000
2.221,3.216,-0.514,2.884,-2.253,-1.129,-0.979,-0.690,0.156,2.788,0.000
2.363,3.468,-1.350,1.498,-3.400,-0.326,0.062,-1.828,-0.327,-0.248,0.000
-1.324,0.590,-0.845,-2.469,-1.189,-1.091,2.902,-2.564,-0.721,-0.097,1.000
-2.036,-2.203,-0.979,-3.114,-0.483,-0.900,4.408,-4.514,0.146,-1.261,0.000
-0.836,-0.319,-1.904,0.303,1.134,-3.170,1.767,-0.419,-0.400,1.172,1.000
-4.897,-2.331,-3.803,0.146,-2.237,0.540,0.688,2.001,1.609,-3.146,0.000
0.220,0.498,-0.850,-0.522,-0.192,-1.625,2.131,1.104,0.188,1.663,1.000
-0.305,2.562,0.790,1.502,2.736,-2.021,2.195,-1.986,0.344,0.956,1.000
-0.220,3.153,-2.550,-3.536,-2.159,-0.458,1.424,-0.694,-1.640,0.211,1.000
0.669,-0.993,-4.826,1.976,-0.773,-2.318,4.444,-1.572,0.052,0.611,0.000
0.446,-0.509,-2.113,-1.086,-2.185,0.216,-0.501,-0.195,3.538,0.209,0.000
-1.727,-0.645,-1.902,0.141,0.421,-3.113,2.283,-0.536,-1.745,2.372,1.000
-0.943,0.064,-1.433,-0.311,-0.450,2.122,0.468,-0.423,0.686,0.540,1.000
-0.572,0.924,-3.714,-0.077,-3.166,0.812,0.211,1.144,0.022,-0.542,1.000
-1.360,0.524,-0.939,0.006,0.749,1.048,1.290,0.470,0.983,1.334,1.000
-1.400,0.556,-0.997,2.695,-1.979,-2.306,3.056,-0.233,1.762,-2.047,1.000
2.883,0.315,-1.252,0.293,0.062,-1.975,2.293,-0.553,0.767,0.026,0.000
-2.121,-0.366,-2.793,-3.275,-2.287,0.411,0.590,-3.151,1.954,2.237,1.000
-0.926,0.887,0.763,-1.621,-3.075,1.743,-0.466,-0.558,0.762,4.075,1.000
-3.539,-0.337,-0.460,-1.754,-0.145,-1.820,-1.194,2.292,0.172,-2.384,0.000
-0.948,0.607,-0.653,2.034,-0.416,0.587,2.673,-2.563,-1.054,-0.765,0.000
-1.599,-0.695,-1.840,0.464,-0.458,-2.434,1.309,0.821,0.706,-1.760,1.000
0.362,1.436,-1.563,1.505,-0.662,0.913,2.320,-1.508,2.655,-0.121,1.000
-0.082,-0.215,0.332,1.463,-0.715,-0.138,-3.871,4.890,1.794,-4.012,1.000
-3.721,0.118,-2.375,-0.081,-0.526,3.649,3.274,-3.841,1.403,-1.818,1.000
1.742,-0.874,0.494,3.451,-1.796,-3.123,5.914,-0.805,1.745,-1.494,0.000
0.666,-1.837,-2.980,1.009,-2.656,3.017,0.331,0.096,2.666,0.697,0.000
