9.233,-4.970,3.549,-1.088,-0.371,-1.257,0.724,4.164,3.065,-2.328,-4.583,2.387,-3.942,-1.168,-2.374,-2.971,4.575,-1.378,-2.722,0.404,-4.530,-2.338,-1.408,0.446,1.000
-4.277,-0.617,3.325,0.124,-1.136,2.231,-2.107,-0.330,-2.710,0.871,-3.812,-1.439,-1.001,5.548,3.462,-3.140,-0.108,-2.189,-3.241,4.347,2.092,6.143,0.488,1.779,1.000
-4.269,-0.418,-1.842,-4.384,0.339,4.429,0.535,2.452,4.891,0.477,2.558,0.218,0.800,1.625,2.419,4.812,-2.570,-0.108,-3.837,0.800,-2.635,0.100,-3.550,2.551,1.000
3.116,1.501,4.734,2.169,0.527,-0.763,-2.988,3.028,0.467,2.759,0.811,-1.401,-0.294,1.719,-2.595,2.213,-1.484,3.709,-0.391,-1.015,1.610,3.034,1.429,0.774,0.000
-1.951,-5.171,-0.251,-2.593,-2.356,-4.327,-1.063,-3.385,-1.374,-3.509,-3.399,0.303,-4.354,1.324,3.789,-2.411,3.322,0.541,1.975,-3.095,1.055,1.753,0.723,4.594,0.000
-1.471,-1.884,1.691,0.722,2.043,-3.261,-1.545,1.890,-2.558,-4.202,-0.758,3.387,-2.528,4.437,1.703,0.849,-0.101,1.850,4.502,-2.233,3.916,2.851,-5.856,3.623,1.000
1.020,-0.479,-1.864,1.405,0.224,1.406,-0.049,-1.935,2.172,1.781,0.827,-1.948,0.946,-1.148,1.419,0.454,-2.159,0.754,2.436,-2.681,-7.583,2.131,0.369,5.752,0.000
-1.255,-0.723,-0.644,-5.345,-3.111,5.295,-1.324,-0.768,3.799,2.204,-1.703,-3.152,-0.053,-0.263,1.400,1.544,-2.804,-1.105,-3.555,0.963,-2.233,1.308,-3.072,-0.477,1.000
-3.605,3.876,-6.276,4.168,-1.840,-3.021,0.179,-4.993,2.613,1.451,-3.302,-1.191,-2.399,-3.050,0.440,-0.648,0.551,0.253,-0.599,-2.154,-9.494,4.587,-3.868,2.430,0.000
4.561,-0.149,-0.879,3.226,2.924,2.711,6.351,1.158,-5.413,-1.928,2.670,-0.085,-0.417,-0.857,1.093,0.333,0.525,-7.051,-2.644,3.477,-0.305,1.033,1.532,-2.778,0.000
-2.103,0.620,-1.184,0.647,1.707,1.135,1.416,-0.942,0.565,-4.400,0.458,1.805,-3.386,-3.514,3.341,-2.208,1.744,1.305,0.071,-1.488,-1.908,2.657,-1.564,3.475,0.000
