-3.601,-1.486,-1.521,-1.533,1.044,-1.524,0.643,0.987,1.896,0.819,-1.917,-3.294,-4.193,-7.492,2.431,0.222,-3.723,4.056,-0.270,0.418,0.057,1.069,0.000
0.930,-5.513,-2.747,1.902,0.279,0.380,1.013,0.636,-2.440,-0.359,-3.280,-0.447,1.980,-1.185,-3.124,0.732,-0.978,-0.647,0.709,-0.182,-0.326,-2.060,1.000
-0.334,-4.210,-2.659,-5.272,1.862,2.482,2.354,-1.055,0.417,-0.016,0.032,5.200,1.654,-1.365,2.788,0.868,0.249,2.929,-4.404,0.260,-3.811,0.114,1.000
-1.059,-1.245,-0.785,-3.356,-1.162,-1.355,1.672,-0.060,-2.545,1.423,-3.142,-0.653,2.702,2.338,-0.627,0.175,-4.503,-0.950,-1.704,2.794,-4.161,-2.532,0.000
4.640,-0.144,-1.134,1.009,6.861,5.423,-0.685,-2.010,2.318,-2.009,-5.736,0.664,1.213,1.801,-4.758,1.770,-6.801,-3.665,2.814,2.291,-2.557,2.174,1.000
-1.977,1.443,-0.828,-3.511,-2.975,2.746,3.009,2.023,-2.933,-3.052,1.046,-2.013,0.176,-0.262,-0.249,1.024,1.228,-4.439,-1.087,-0.429,0.158,3.488,0.000
-3.620,-0.741,0.041,-1.313,-0.800,-1.561,-2.413,1.321,0.224,0.742,-0.651,-3.591,4.197,0.160,-1.533,-3.125,-0.640,0.327,0.865,-0.985,1.675,-1.363,0.000
3.042,1.495,-3.128,3.278,0.535,6.199,2.897,0.878,6.910,0.767,-5.402,4.122,0.994,5.024,-6.280,-2.717,-5.389,-0.430,-2.673,-2.796,0.706,-0.082,1.000
-2.097,-3.509,-0.287,-0.192,-3.311,-3.085,-2.453,2.428,-1.312,2.668,-2.753,-1.753,-3.578,-2.668,-0.632,-0.091,3.033,-3.468,1.740,-1.045,1.458,-3.144,0.000
5.186,2.198,2.527,-1.055,-1.790,2.064,6.685,2.320,0.308,-1.390,0.810,-2.417,1.160,1.059,-5.051,2.387,-0.823,-2.807,-0.585,1.582,-3.031,8.618,0.000
