-3.068,2.561,2.267,-4.414,-3.175,-2.459,1.121,-0.886,2.193,-0.884,4.168,0.776,1.039,-1.647,1.465,4.002,0.000
-1.111,0.452,1.187,-5.734,2.022,-2.757,-1.080,-2.523,5.757,0.096,0.884,-2.892,-0.926,-2.168,-1.058,0.106,0.000
-0.497,-1.366,-1.518,-2.790,-1.995,1.037,0.980,0.001,-1.025,-0.737,0.386,3.530,2.031,2.243,-1.632,1.518,0.000
0.811,-2.734,-3.535,1.335,-0.885,-3.414,-1.558,-1.362,5.113,-1.866,0.568,-1.741,-0.679,-1.155,1.102,3.839,0.000
3.449,-5.531,-3.348,0.985,1.361,-7.226,4.744,-4.288,2.423,5.978,-3.346,-0.213,-3.469,-2.696,-0.374,-0.384,0.000
0.722,-0.377,2.808,-0.357,-1.915,-2.147,0.935,-3.440,4.321,1.335,2.244,-0.924,0.412,0.722,4.598,3.360,0.000
-0.859,1.793,-0.303,0.777,-2.476,-2.729,-3.056,1.555,0.566,-1.567,2.513,-0.575,2.099,0.470,2.728,2.082,0.000
4.053,-1.914,2.462,1.442,0.976,2.644,-3.770,-0.612,4.156,-3.327,2.322,2.580,1.362,-2.587,3.342,0.131,1.000
-0.137,2.260,-2.784,-1.945,-1.350,1.437,-1.665,-0.126,-0.598,-2.408,1.513,1.326,3.796,-1.005,-2.544,2.746,0.000
-1.136,-3.793,-0.973,-3.847,0.065,-0.480,-3.892,0.261,0.516,-1.773,1.472,-1.238,-1.681,0.800,-0.913,1.485,0.000
5.671,0.877,1.140,-1.661,-2.084,1.456,1.628,-0.757,-2.232,-5.532,-4.596,-1.930,1.685,0.525,0.719,-1.744,1.000
8.179,-0.330,3.848,2.046,3.237,3.091,2.492,0.420,2.905,-2.103,5.684,0.014,1.810,-4.651,0.893,2.753,1.000
-0.406,-5.348,0.605,0.209,1.709,0.193,-1.423,-0.068,-0.922,2.227,-1.015,-2.284,-1.301,-1.198,1.199,-1.759,0.000
-0.150,-0.840,-0.101,-1.386,1.275,-0.944,-0.639,-4.164,1.660,-3.460,1.429,-0.637,-3.034,-3.416,0.788,1.070,1.000
-0.198,2.645,-0.030,3.211,-1.638,1.883,-0.297,0.512,1.671,2.136,0.447,-0.631,0.857,-4.070,-0.202,-5.112,1.000
4.306,4.909,4.606,-1.190,2.535,-1.261,-0.100,0.321,-1.469,-6.408,1.356,0.697,0.092,2.357,2.954,4.062,1.000
